WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_AREA_TERRITORY,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,RSV
EUR,NH,NH,Russian Federation,2018-10-28,2018,44,0
EUR,NH,NH,Russian Federation,2018-10-28,2018,44,0
EUR,NH,NH,Russian Federation,2018-11-04,2018,45,0
EUR,NH,NH,Russian Federation,2018-11-04,2018,45,0
EUR,NH,NH,Russian Federation,2018-11-11,2018,46,0
EUR,NH,NH,Russian Federation,2018-11-11,2018,46,0
EUR,NH,NH,Russian Federation,2018-11-18,2018,47,0
EUR,NH,NH,Russian Federation,2018-11-18,2018,47,0
EUR,NH,NH,Russian Federation,2018-11-25,2018,48,0
EUR,NH,NH,Russian Federation,2018-11-25,2018,48,0
EUR,NH,NH,Russian Federation,2018-12-02,2018,49,1
EUR,NH,NH,Russian Federation,2018-12-02,2018,49,0
EUR,NH,NH,Russian Federation,2018-12-09,2018,50,0
EUR,NH,NH,Russian Federation,2018-12-09,2018,50,7
EUR,NH,NH,Russian Federation,2018-12-16,2018,51,0
EUR,NH,NH,Russian Federation,2018-12-16,2018,51,2
EUR,NH,NH,Russian Federation,2018-12-23,2018,52,0
EUR,NH,NH,Russian Federation,2018-12-23,2018,52,0
EUR,NH,NH,Russian Federation,2018-12-30,2019,1,0
EUR,NH,NH,Russian Federation,2018-12-30,2019,1,1
EUR,NH,NH,Russian Federation,2019-01-06,2019,2,4
EUR,NH,NH,Russian Federation,2019-01-06,2019,2,0
EUR,NH,NH,Russian Federation,2019-01-13,2019,3,0
EUR,NH,NH,Russian Federation,2019-01-13,2019,3,5
EUR,NH,NH,Russian Federation,2019-01-20,2019,4,0
EUR,NH,NH,Russian Federation,2019-01-20,2019,4,0
EUR,NH,NH,Russian Federation,2019-01-27,2019,5,0
EUR,NH,NH,Russian Federation,2019-01-27,2019,5,0
EUR,NH,NH,Russian Federation,2019-02-03,2019,6,0
EUR,NH,NH,Russian Federation,2019-02-03,2019,6,1
EUR,NH,NH,Russian Federation,2019-02-10,2019,7,1
EUR,NH,NH,Russian Federation,2019-02-10,2019,7,0
EUR,NH,NH,Russian Federation,2019-02-17,2019,8,2
EUR,NH,NH,Russian Federation,2019-02-17,2019,8,0
EUR,NH,NH,Russian Federation,2019-02-24,2019,9,5
EUR,NH,NH,Russian Federation,2019-02-24,2019,9,0
EUR,NH,NH,Russian Federation,2019-03-03,2019,10,2
EUR,NH,NH,Russian Federation,2019-03-03,2019,10,0
EUR,NH,NH,Russian Federation,2019-03-10,2019,11,0
EUR,NH,NH,Russian Federation,2019-03-10,2019,11,3
EUR,NH,NH,Russian Federation,2019-03-17,2019,12,0
EUR,NH,NH,Russian Federation,2019-03-17,2019,12,2
EUR,NH,NH,Russian Federation,2019-03-24,2019,13,0
EUR,NH,NH,Russian Federation,2019-03-24,2019,13,4
EUR,NH,NH,Russian Federation,2019-03-31,2019,14,6
EUR,NH,NH,Russian Federation,2019-03-31,2019,14,0
EUR,NH,NH,Russian Federation,2019-04-07,2019,15,4
EUR,NH,NH,Russian Federation,2019-04-07,2019,15,0
EUR,NH,NH,Russian Federation,2019-04-14,2019,16,0
EUR,NH,NH,Russian Federation,2019-04-14,2019,16,0
EUR,NH,NH,Russian Federation,2019-04-21,2019,17,0
EUR,NH,NH,Russian Federation,2019-04-21,2019,17,1
EUR,NH,NH,Russian Federation,2019-04-28,2019,18,0
EUR,NH,NH,Russian Federation,2019-04-28,2019,18,0
EUR,NH,NH,Russian Federation,2019-05-05,2019,19,0
EUR,NH,NH,Russian Federation,2019-05-05,2019,19,0
EUR,NH,NH,Russian Federation,2019-05-12,2019,20,0
EUR,NH,NH,Russian Federation,2019-05-12,2019,20,0
EUR,NH,NH,Russian Federation,2019-05-19,2019,21,1
EUR,NH,NH,Russian Federation,2019-05-19,2019,21,0
EUR,NH,NH,Russian Federation,2019-05-26,2019,22,0
EUR,NH,NH,Russian Federation,2019-05-26,2019,22,0
EUR,NH,NH,Russian Federation,2019-06-02,2019,23,0
EUR,NH,NH,Russian Federation,2019-06-02,2019,23,1
EUR,NH,NH,Russian Federation,2019-06-09,2019,24,0
EUR,NH,NH,Russian Federation,2019-06-09,2019,24,0
EUR,NH,NH,Russian Federation,2019-06-23,2019,26,2
EUR,NH,NH,Russian Federation,2019-06-23,2019,26,0
EUR,NH,NH,Russian Federation,2019-06-30,2019,27,0
EUR,NH,NH,Russian Federation,2019-06-30,2019,27,3
EUR,NH,NH,Russian Federation,2019-07-07,2019,28,3
EUR,NH,NH,Russian Federation,2019-07-07,2019,28,0
EUR,NH,NH,Russian Federation,2019-07-14,2019,29,0
EUR,NH,NH,Russian Federation,2019-07-14,2019,29,3
EUR,NH,NH,Russian Federation,2019-07-21,2019,30,0
EUR,NH,NH,Russian Federation,2019-07-21,2019,30,0
EUR,NH,NH,Russian Federation,2019-07-28,2019,31,1
EUR,NH,NH,Russian Federation,2019-07-28,2019,31,0
EUR,NH,NH,Russian Federation,2019-08-04,2019,32,0
EUR,NH,NH,Russian Federation,2019-08-04,2019,32,0
EUR,NH,NH,Russian Federation,2019-08-11,2019,33,0
EUR,NH,NH,Russian Federation,2019-08-11,2019,33,0
EUR,NH,NH,Russian Federation,2019-08-18,2019,34,0
EUR,NH,NH,Russian Federation,2019-08-18,2019,34,1
EUR,NH,NH,Russian Federation,2019-08-25,2019,35,0
EUR,NH,NH,Russian Federation,2019-08-25,2019,35,0
EUR,NH,NH,Russian Federation,2019-09-01,2019,36,1
